i, j, dm, x, s, t, u, v, n, e, s, w, p, d
0, 1, 2, 1, 1, 1, 1, 1, 0, -0.5485016, -0.51, 5.19804, 0, 0
0, 1, 3, 0, 0, 0, 0, 0, 0, 0, -0.372, -0.3, 0, 0
0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 0, 1, 0, 0, 0, -0.8298, -0.6324, -0.7948321, 0, 0
0, 1, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 1, 0, 0, 0, 0, -0.51, -0.3, -0.4224, 0, 0
0, 1, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
